Question,Answer
. What rights does a mother have regarding child custody in Sri Lanka?,"In Sri Lanka, mothers are typically granted custody of young children, particularly under the age of 5. However, this may vary depending on the circumstances, including the father’s ability to care for the child. The court always considers the child's welfare and may award joint custody or give custody to the father if deemed appropriate."
. What is the procedure to apply for a restraining order in Sri Lanka?,"To apply for a restraining order in Sri Lanka, a victim of domestic violence or harassment must file a petition in the Family Court. The petition should provide details of the abuse or harassment. If the court is satisfied with the evidence, it can issue an order preventing the abuser from contacting or approaching the victim."
. Is it necessary for both parents to agree on a name change for a child in Sri Lanka?,"Yes, in Sri Lanka, both parents must agree on a name change for a child. If there is disagreement, the matter can be taken to court, and the court will decide based on the child's best interests."
. What happens if a spouse hides assets during a divorce in Sri Lanka?,"If a spouse is found to be hiding assets during a divorce, the court may order a forensic investigation to uncover the hidden assets. The court can impose penalties, including contempt of court charges, and may adjust the property division to reflect the hidden assets."
. How does the court determine spousal support (alimony) in Sri Lanka?,"The court considers several factors when determining spousal support in Sri Lanka, including the financial situation of both parties, the standard of living during the marriage, the duration of the marriage, the age and health of both parties, and any other relevant circumstances."
. What is the role of mediation in Sri Lankan family law?,"Mediation is an important tool in Sri Lankan family law to resolve disputes, particularly in divorce and child custody cases. Mediators, often appointed by the court, help the parties reach an amicable agreement without the need for prolonged litigation. If mediation fails, the case proceeds to a formal hearing in court."
. Can a father legally change his child's surname in Sri Lanka?,"In Sri Lanka, both parents must consent to a change of surname for a child. If one parent disagrees, the matter can be taken to the Family Court. The court will consider the best interest of the child before making a decision."
. Can a person file for divorce on the grounds of emotional abuse in Sri Lanka?,"Yes, emotional or psychological abuse can be grounds for divorce in Sri Lanka. A spouse seeking a divorce on this basis must provide evidence of the abuse, such as medical or psychological reports, and the court will consider this when making a decision."
. What is the law regarding bigamy in Sri Lanka?,"Bigamy, the act of marrying someone while already being married to another person, is illegal in Sri Lanka. A person found guilty of bigamy can face criminal charges, including imprisonment, under Sri Lankan law."
. What is the process of obtaining a marriage certificate in Sri Lanka?,"To obtain a marriage certificate in Sri Lanka, a couple must register their marriage with the relevant authorities, such as the Registrar of Marriages. After the registration, a marriage certificate can be requested for a nominal fee from the same office."
. What is the role of the Family Court in Sri Lanka?,"The Family Court in Sri Lanka has jurisdiction over matters related to family law, including divorce, child custody, maintenance, and domestic violence. The court’s role is to ensure that the rights of family members, particularly children and spouses, are protected and that disputes are resolved fairly."
. Can a woman inherit property from her husband in Sri Lanka?,"Yes, under Sri Lankan law, a woman has the right to inherit property from her husband if he dies intestate (without a will). The distribution of property depends on the family situation, including the presence of children and other heirs. If a will exists, the property is distributed according to the terms of the will."
. What is the Matrimonial Rights and Inheritance Ordinance in Sri Lanka?,"The Matrimonial Rights and Inheritance Ordinance (No. 18 of 1876) governs the inheritance of property for married couples in Sri Lanka. It sets out the rights of spouses in terms of property division and inheritance in the event of the death of one spouse, including provisions for surviving spouses to claim a share of the deceased's estate."
. What is the Prevention of Domestic Violence Act in Sri Lanka?,"The Prevention of Domestic Violence Act (No. 34 of 2005) provides legal protection for individuals experiencing domestic violence. It allows victims to seek immediate relief, including restraining orders, and provides mechanisms for protection from further harm. The Act aims to reduce domestic violence by criminalizing abusive behavior and offering support for victims."
. What are the grounds for annulment of marriage under Sri Lankan law?,"The grounds for annulment of marriage in Sri Lanka are outlined in the Marriage Registration Ordinance (No. 19 of 1907). These grounds include the following: lack of consent, bigamy, mental incapacity, non-consummation, and fraudulent intent. Annulment renders the marriage void, as though it never existed."
. Can a spouse contest a divorce decree in Sri Lanka?,"Yes, under the Divorce Act (No. 2 of 1905), a spouse can contest a divorce decree. If the divorce petition is filed on grounds such as adultery, cruelty, or desertion, the contested spouse can challenge the allegations in court. The court will then decide whether the divorce should proceed or be dismissed."
. How is child support determined under Sri Lankan law?,"Child support in Sri Lanka is typically determined by the Family Court, considering the financial capacity of both parents and the needs of the child. Factors such as the child’s education, health, and overall welfare are also taken into account. The court may order periodic payments by the non-custodial parent for child maintenance under the Matrimonial Rights and Inheritance Ordinance."
. What is the role of the Child Protection Authority in family law matters?,"The National Child Protection Authority (NCPA) is tasked with protecting the welfare of children in Sri Lanka. The Authority investigates cases of child abuse, neglect, and exploitation and provides support for child protection through legal measures, including interventions in cases of child custody disputes and welfare concerns."
. How does the Sri Lanka Adoption Ordinance affect adoption cases?,"The Sri Lanka Adoption Ordinance (No. 12 of 1941) governs the legal process for adoption in Sri Lanka. This ordinance outlines the eligibility criteria for prospective adoptive parents, the procedures for filing for adoption, and the legal procedures for transferring parental rights to adoptive parents. The Ordinance ensures that the welfare of the child is considered before adoption is granted."
. What are the conditions for a valid marriage under Sri Lankan law?,"According to the Marriage Registration Ordinance (No. 19 of 1907), a valid marriage in Sri Lanka must meet several conditions: both parties must be at least 18 years old, the marriage must be registered with the relevant authorities, and both parties must give consent. The marriage must also not contravene any provisions that prevent marriages, such as bigamy or close blood relations."
. Can a marriage conducted in a foreign country be valid in Sri Lanka?,"Yes, a marriage conducted in a foreign country can be recognized in Sri Lanka as long as it was legally valid in the country where it was conducted. To ensure recognition in Sri Lanka, the marriage must be registered with the relevant authorities, such as the Registrar General's Department."
. What is the legal procedure for dissolution of a Hindu marriage in Sri Lanka?,"The dissolution of a Hindu marriage in Sri Lanka is governed by the Hindu Marriage and Divorce Act (No. 14 of 1955). The grounds for divorce include cruelty, adultery, desertion, or the non-consummation of the marriage. The party seeking a divorce must file a petition in the District Court, and the court will decide whether to grant the divorce based on the grounds presented."
. What is the role of a mediator in Sri Lankan family law cases?,"A mediator in Sri Lanka’s family law system helps resolve disputes without litigation. Under the Judicature Act (No. 2 of 1978), mediation is encouraged in family matters like divorce and child custody. The mediator works with both parties to reach a mutually agreeable solution before the case goes to trial. If mediation is unsuccessful, the case proceeds to court."
. What is the process for registering a divorce in Sri Lanka?,"To register a divorce in Sri Lanka, the party seeking divorce must file a petition in the Family Court. The petition should include the grounds for divorce, and once the court passes a decree nisi, it is published. After three months, the decree absolute is issued, officially dissolving the marriage. Divorce settlements related to children or property may also be determined during this process."
. What is the Buddhist Marriage and Divorce Act in Sri Lanka?,"The Buddhist Marriage and Divorce Act (No. 50 of 1999) governs the marriages and divorces of Buddhist individuals in Sri Lanka. This Act addresses various issues such as the legal age for marriage, dissolution of marriages, and the rights of spouses in relation to maintenance and property division. It also emphasizes the role of Buddhist religious principles in marital matters."
. What are the child protection laws in Sri Lanka for children under the age of 18?,"Sri Lanka’s Child Protection Act (No. 50 of 1998) provides comprehensive protection for children under 18. This includes protection from child labor, abuse, exploitation, and neglect. The Act establishes the National Child Protection Authority (NCPA) and enforces penalties for those who harm children, including provisions for adoption, child custody, and guardianship."
. How is the distribution of property handled in a divorce under Sri Lankan law?,"In Sri Lanka, the division of property in a divorce is generally handled based on the Matrimonial Rights and Inheritance Ordinance (No. 18 of 1876). Property acquired during the marriage is divided fairly between the spouses, considering factors such as contributions to the acquisition, the welfare of children, and the financial situation of both spouses."
. What is the process for obtaining child custody in Sri Lanka?,"To obtain child custody in Sri Lanka, a parent must file an application in the Family Court. The court will consider the welfare of the child, the parents' financial and emotional capabilities, and the child’s best interests when deciding custody arrangements. The court may grant sole or joint custody depending on the circumstances."
. How does the Sri Lanka Penal Code relate to family law?,"The Sri Lanka Penal Code (No. 2 of 1883) addresses criminal offenses, some of which intersect with family law. For example, domestic violence, child abuse, and other family-related offenses such as bigamy are addressed under this code. The Penal Code provides penalties for those found guilty of violating family law protections, including imprisonment and fines."
. Can a person contest the adoption of a child in Sri Lanka?,"Yes, a person can contest an adoption in Sri Lanka by filing an objection in the Family Court. The court will review the reasons for the objection and make a decision based on the child’s welfare, considering any evidence provided by the objecting party. The court's decision is made in the best interests of the child."
. What is the role of the Registrar General’s Department in family law?,"The Registrar General’s Department in Sri Lanka is responsible for maintaining records of vital events, including births, marriages, and deaths. It plays a key role in ensuring that marriages and divorces are legally registered, which is essential for the legal recognition of marital status and the enforcement of family law."
. What is the law on inheritance for children in Sri Lanka?,"Under Sri Lankan law, children are entitled to inherit from their parents according to the Matrimonial Rights and Inheritance Ordinance (No. 18 of 1876). If a parent dies intestate (without a will), the estate is divided among the children. If a will exists, the estate is distributed according to the terms of the will, provided the will does not contravene the inheritance rights of the children."
. What is the Muslim Marriage and Divorce Act in Sri Lanka?,"The Muslim Marriage and Divorce Act (No. 13 of 1951) regulates Muslim marriages and divorces in Sri Lanka. It outlines the procedures for marriage, divorce, maintenance, and custody within the Muslim community. The Act ensures that Islamic law (Sharia law) is applied in family matters such as the dissolution of marriage, but it also incorporates Sri Lankan civil law for matters related to property division and maintenance."
. What is the Domestic Violence (Amendment) Act?,"The Domestic Violence (Amendment) Act (No. 34 of 2005) provides an extension of the original Domestic Violence Act (No. 34 of 2005), strengthening legal protections for victims of domestic violence. The Amendment expanded the definition of domestic violence to include emotional, psychological, and economic abuse, in addition to physical violence, and enhanced the remedies available for victims."
. How does the Divorce Act of Sri Lanka handle grounds for divorce?,"The Divorce Act (No. 2 of 1905) provides specific grounds for divorce, including adultery, cruelty, desertion, and non-consummation of the marriage. In cases of mutual consent, parties can also agree to divorce without proving fault. The Act lays down the procedures for filing a petition for divorce in the Family Court."
. Can a woman claim alimony in Sri Lanka?,"Yes, under the Divorce Act (No. 2 of 1905) and other related legislation such as the Matrimonial Rights and Inheritance Ordinance (No. 18 of 1876), a woman can claim alimony following a divorce. The court considers the financial capacity of the husband, the wife’s need for support, and her standard of living during the marriage before making a decision regarding alimony payments."
. What is the Guardianship of Infants Ordinance in Sri Lanka?,"The Guardianship of Infants Ordinance (No. 17 of 1898) governs the legal guardianship of children in Sri Lanka. It addresses the rights of parents in relation to their children’s care, upbringing, and welfare. In cases of divorce or separation, the court will decide which parent will have custody of the child based on the child’s best interests."
. How does the Adoption Ordinance work in Sri Lanka?,"The Adoption Ordinance (No. 12 of 1941) regulates the adoption process in Sri Lanka. It outlines the procedures for adopting a child, the eligibility of adoptive parents, and the legal effect of adoption. Once the adoption is granted, the child becomes a legal member of the adoptive family and is entitled to inherit from the adoptive parents."
. What is the significance of the Family Court in Sri Lanka?,"The Family Court is a specialized court in Sri Lanka that deals with family-related matters such as divorce, child custody, maintenance, and domestic violence cases. The court aims to provide a more focused and efficient judicial process for resolving family disputes. The Family Court can also issue orders of protection for victims of domestic violence."
. What is the Sri Lanka Adoption Act of 2017?,"The Sri Lanka Adoption Act (No. 7 of 2017) modernizes the adoption process in Sri Lanka, ensuring that the procedures for adopting a child are streamlined and in line with international child protection standards. This Act addresses the rights of biological and adoptive parents and prioritizes the welfare of the child in all adoption decisions."
. What are the legal implications of a prenuptial agreement in Sri Lanka?,"Prenuptial agreements in Sri Lanka are not explicitly governed by a specific law. However, they can be valid if both parties voluntarily agree to the terms, provided there is no undue influence or duress. A prenuptial agreement may influence the division of property and financial matters in the event of a divorce, though the courts can still intervene if the agreement is deemed unfair."
. Can a Sri Lankan court order a joint custody arrangement?,"Yes, under Sri Lankan law, the Family Court can order joint custody of children in divorce or separation cases. The court will consider the child’s welfare, the parents' ability to co-parent effectively, and other relevant factors before determining whether joint custody is in the best interests of the child."
. What are the legal requirements for a valid Muslim marriage in Sri Lanka?,"A valid Muslim marriage in Sri Lanka, governed by the Muslim Marriage and Divorce Act (No. 13 of 1951), requires the consent of both parties, the presence of two witnesses, and a formal marriage contract (Nikah). The marriage must also be registered with the relevant authorities to be legally recognized."
. What is the legal position on dowry in Sri Lankan family law?,"Dowry is not explicitly regulated by Sri Lankan family law. However, it may be addressed in a marriage contract or may be considered a part of the property rights between spouses in divorce proceedings. The giving and receiving of dowry must be consensual and cannot involve any form of coercion or exploitation."
. What is the role of Family Mediation in Sri Lanka?,"Family mediation in Sri Lanka is an alternative dispute resolution process where a neutral third party assists couples in resolving conflicts related to divorce, child custody, and property division. Mediation is encouraged by the Judicature Act (No. 2 of 1978) and provides an opportunity for couples to reach amicable solutions without going through lengthy court proceedings."
. What does the Inheritance (Non-Muslim) Act provide?,"The Inheritance (Non-Muslim) Act (No. 47 of 1987) governs the distribution of property in Sri Lanka for non-Muslims who die intestate (without a will). The Act specifies how a deceased person's estate should be divided among family members, including the spouse and children. If there is a will, the distribution will be according to the will’s provisions, as long as they comply with legal requirements."
. How is child maintenance determined under Sri Lankan law?,"Child maintenance in Sri Lanka is determined by the Family Court, considering the financial circumstances of both parents and the needs of the child. The non-custodial parent is typically ordered to provide financial support, and the amount is calculated based on factors like the child’s age, education, health, and general welfare."
. What is the Matrimonial Homes Act in Sri Lanka?,"The Matrimonial Homes Act (No. 17 of 1980) governs the rights of spouses regarding the family home in the event of divorce or separation. It ensures that the matrimonial home remains accessible to the spouse and children, and it provides legal protection to prevent the wrongful eviction of the spouse from the home during or after divorce proceedings."
. Can a foreign divorce be recognized in Sri Lanka?,"Yes, under Sri Lankan law, a foreign divorce can be recognized if it was granted in a country whose legal system is compatible with Sri Lankan family law. The Marriage Registration Ordinance (No. 19 of 1907) allows for foreign divorces to be registered in Sri Lanka, provided certain conditions are met and the divorce complies with international standards."
. What is the Births and Deaths Registration Act in Sri Lanka?,"The Births and Deaths Registration Act (No. 19 of 1968) governs the registration of births and deaths in Sri Lanka. This law is significant in family law as it ensures the legal recognition of individuals, which is essential for inheritance, property claims, and other family matters. Birth certificates are used to establish paternity, legal guardianship, and inheritance rights."
. What is the Protection of Women’s Rights under Sri Lankan family law?,"The Protection of Women’s Rights in Sri Lankan family law is primarily governed by the Women’s Charter and laws related to domestic violence. These laws ensure that women have equal rights in marriage, property ownership, and child custody. They also provide protection against violence, discrimination, and exploitation within the family setting."
. What is the role of the National Child Protection Authority (NCPA) in family law?,"The National Child Protection Authority (NCPA) plays a critical role in protecting children from abuse, neglect, and exploitation. It investigates cases of child abuse, ensures the enforcement of child protection laws, and provides support for families involved in child welfare issues, including custody and adoption matters under Sri Lankan family law."
. What does the Sri Lanka Children’s Charter provide?,"The Sri Lanka Children’s Charter (No. 10 of 2005) is a set of guidelines aimed at protecting the rights and welfare of children in Sri Lanka. It covers various areas, including child labor, child marriage, and access to education and healthcare. The Charter emphasizes that every child should be treated with dignity, respect, and equality, and that their best interests should always be prioritized in family-related matters."
. What is the legal process for changing a child’s surname in Sri Lanka?,"In Sri Lanka, a child’s surname can be changed through a formal application to the Family Court. The court considers the best interests of the child when determining whether to allow the change. Reasons such as parental separation, remarriage, or the child’s desire for a different surname are usually taken into account. Any changes must be legally registered with the Registrar General’s Department to be recognized."
. Can a child be adopted by a non-Sri Lankan citizen?,"Yes, a non-Sri Lankan citizen can adopt a Sri Lankan child, but the process is governed by the Sri Lanka Adoption Act (No. 7 of 2017) and requires approval from the Department of Probation and Child Care Services. The adopting parent must meet specific criteria, including financial stability and the ability to provide a safe and nurturing environment. The adoption must be in the best interests of the child, and international adoption laws must also be followed."
. What is the process for divorce in Sri Lanka?,"Divorce in Sri Lanka is governed by the Divorce Act (No. 2 of 1905) for non-Muslim couples, and the Muslim Marriage and Divorce Act (No. 13 of 1951) for Muslim couples. The process involves filing a petition with the Family Court, where the court will consider grounds for divorce such as adultery, cruelty, or desertion. The court may also issue orders regarding alimony, child custody, and property division."
. What is the Matrimonial Property Act in Sri Lanka?,"The Matrimonial Property Act (No. 34 of 2005) regulates the division of property upon divorce in Sri Lanka. It ensures that property acquired during the marriage is divided fairly between the spouses, considering factors such as the contributions made by each party to the acquisition of the property. The Act provides guidelines for equitable distribution but allows for exceptions based on special circumstances."
. Is spousal maintenance available after a divorce in Sri Lanka?,"Yes, spousal maintenance is available under the Divorce Act (No. 2 of 1905) in Sri Lanka. The court may order the higher-earning spouse to pay maintenance to the lower-earning spouse after divorce. The amount of maintenance is determined based on factors such as the financial needs of the spouse, the standard of living during the marriage, and the spouse’s ability to support themselves."
. Can domestic violence be reported in Sri Lanka?,"Yes, domestic violence can and should be reported in Sri Lanka under the Domestic Violence Act (No. 34 of 2005). Victims of domestic violence can approach the Family Court for protection orders, which may include orders to prevent further abuse, removal of the abuser from the home, and the provision of temporary maintenance or accommodation. The police and other authorities are obligated to assist victims in filing complaints and seeking justice."
. What is the legal age for marriage in Sri Lanka?,"The legal age for marriage in Sri Lanka is 18 years for both males and females, according to the Marriage Registration Ordinance (No. 19 of 1907). However, individuals aged 16 and 17 can marry with the approval of a competent court under certain conditions, such as parental consent and a special court order that deems the marriage to be in the best interest of the minor."
. Can a grandparent have custody of a child in Sri Lanka?,"Yes, grandparents can be granted custody of a child in Sri Lanka, especially if the parents are deemed unfit or incapable of providing proper care. Under the Guardianship of Infants Ordinance (No. 17 of 1898), the Family Court considers the best interests of the child and may award custody to grandparents, ensuring that the child’s welfare is the primary concern."
. What is the Inheritance (Non-Muslim) Act (No. 47 of 1987) in Sri Lanka?,"The Inheritance (Non-Muslim) Act (No. 47 of 1987) governs the inheritance of property when a non-Muslim person dies without leaving a valid will. This law defines how property should be distributed among surviving family members, including spouses, children, and other heirs. It also outlines the distribution rights of legal heirs in the event of a person’s death intestate (without a will)."
. What is the significance of marital property under Sri Lankan law?,"Marital property in Sri Lanka is typically considered property acquired during the marriage, and it is subject to division in the event of a divorce. The Matrimonial Property Act (No. 34 of 2005) governs the distribution of marital property. The court evaluates the contributions made by each spouse to the acquisition, preservation, or improvement of the property and ensures an equitable distribution."
. How is child custody determined in Sri Lanka?,"In Sri Lanka, child custody is determined based on the child’s best interests. The Guardianship of Infants Ordinance (No. 17 of 1898) grants the Family Court authority to make decisions about custody, considering factors such as the child’s age, welfare, and the ability of each parent to care for the child. Joint custody can be awarded in certain cases, or custody can be granted to one parent, usually the one deemed most capable of providing proper care."
. What is the role of Family Mediation in Sri Lanka?,"Family mediation in Sri Lanka serves as an alternative dispute resolution method for resolving family-related issues, such as divorce, child custody, and property disputes. The Judicature Act (No. 2 of 1978) encourages mediation to facilitate amicable resolutions without lengthy court battles. Trained mediators assist parties in reaching mutual agreements that are legally binding."
. Can a foreign judgment regarding child custody be enforced in Sri Lanka?,"Yes, a foreign judgment related to child custody can be enforced in Sri Lanka if it is recognized by the Sri Lankan courts. The enforcement is governed by the Reciprocal Enforcement of Judgments Act (No. 32 of 1955), which allows for the recognition and enforcement of foreign judgments, provided the foreign jurisdiction has reciprocal enforcement agreements with Sri Lanka."
. What is the Adoption Act (No. 7 of 2017) in Sri Lanka?,"The Adoption Act (No. 7 of 2017) is the primary legislation governing the adoption process in Sri Lanka. It lays out the legal requirements for adopting a child, including the eligibility of adoptive parents and the legal effects of adoption. The Act also provides guidelines for inter-country adoption, ensuring that the child’s welfare is protected at all times."
. What happens if the parents of a child separate but do not formalize custody in Sri Lanka?,"If parents separate without formalizing custody, the situation can become legally complicated. The Family Court can step in to determine custody and visitation rights, taking into account the child’s best interests. Under the Guardianship of Infants Ordinance (No. 17 of 1898), the court will evaluate various factors, such as the parents' ability to care for the child and the child’s relationship with each parent."
. Is child marriage allowed under Sri Lankan law?,"No, child marriage is not allowed under Sri Lankan law. The legal age for marriage is 18, as per the Marriage Registration Ordinance (No. 19 of 1907). While exceptions exist for those aged 16 and 17, they can only marry with the approval of a court, which ensures the marriage is in the best interest of the minor."
. What are the legal rights of a married woman regarding property in Sri Lanka?,"A married woman in Sri Lanka has legal rights to property, both personal and marital, as outlined in the Matrimonial Property Act (No. 34 of 2005). She has the right to own property in her name and can also have a share of property acquired during the marriage, depending on her contribution to its acquisition."
. How are domestic violence cases handled in Sri Lanka?,"Domestic violence cases are handled under the Domestic Violence Act (No. 34 of 2005), which allows victims to seek protection orders from the Family Court. The court can issue orders for the abuser to vacate the home, cease abusive behavior, and provide financial support to the victim. Police intervention is also mandatory for cases involving physical violence."
How does Sri Lankan law handle maintenance for children after separation?,"Maintenance for children after separation is governed by the Divorce Act (No. 2 of 1905) and other related laws. The non-custodial parent is typically required to provide financial support, which may include money for education, health care, and daily living expenses. The court assesses the parents' financial ability and the child’s needs when determining the amount of maintenance."
What are the legal procedures for a divorce in Sri Lanka under the Divorce Act?,"Under the Divorce Act (No. 2 of 1905), the divorce process begins when one spouse files a petition in the Family Court. Grounds for divorce include adultery, cruelty, desertion, and in some cases, irretrievable breakdown of the marriage. The court considers the welfare of any children involved, child custody, and spousal maintenance. The divorce process can take several months, depending on the complexity of the case. After the decree is issued, the couple is legally divorced."
What is the role of the Probation Department in child custody matters?,"In Sri Lanka, the Probation Department plays a significant role in child custody matters, especially when the parents are in conflict. The department conducts investigations and provides recommendations to the Family Court about the child's welfare. The department may be involved in assessing the child's home environment, speaking to both parents, and offering suggestions on custody arrangements, all based on the Guardianship of Infants Ordinance (No. 17 of 1898)."
Can a woman be legally forced to stay in a marriage in Sri Lanka?,"No, a woman cannot be legally forced to stay in a marriage in Sri Lanka. If a woman is subjected to abuse or mistreatment, she has the right to seek a divorce or separation under the Divorce Act (No. 2 of 1905) or the Domestic Violence Act (No. 34 of 2005). The legal system allows individuals to end marriages based on grounds like cruelty, adultery, or desertion, and domestic violence victims can obtain protection orders through the court."
What happens if a spouse refuses to comply with the Family Court's maintenance order?,"If a spouse refuses to comply with the maintenance order issued by the Family Court in Sri Lanka, the recipient can apply to the court for enforcement. The court has the power to take actions such as garnishing wages, seizing assets, or even imprisonment for contempt of court. Non-compliance with a maintenance order is a serious offense under the Divorce Act (No. 2 of 1905), and enforcement measures ensure that the dependent spouse receives the necessary support."
